# cell:
#   XP12RO: SV40-immortalized skin fibroblast derived from patient deficient in XPA
#   XP20S: SV40-immortalized skin fibroblast derived from patient deficient in XPA
#   XP12RO-XPA: XP12RO cell line complemented with XPA
#   XP20S-XPA: XP20S cell line complemented with XPA
#	  HeLa-KO142: HeLa cell line with CRISPR KO of XPA (partial protein expression)
#   HeLA_KO38: HeLa cell line with CRISPR KO of XPA (no protein expression)
# treatment:
#   RA: retinoic acid
#   DMSO: DMSO vehicle
sample_id	description	cell	parental	treatment	xpa	cell_type	malignant
GSM2695253	XP12RO_DMSO_1	XP12RO	XP12RO	DMSO	-	Skin fibroblast	FALSE
GSM2695254	XP12RO_DMSO_2	XP12RO	XP12RO	DMSO	-	Skin fibroblast	FALSE
GSM2695255	XP12RO_DMSO_3	XP12RO	XP12RO	DMSO	-	Skin fibroblast	FALSE
GSM2695256	XP12RO_RA_1	XP12RO	XP12RO	RA	-	Skin fibroblast	FALSE
GSM2695257	XP12RO_RA_2	XP12RO	XP12RO	RA	-	Skin fibroblast	FALSE
GSM2695258	XP12RO_RA_3	XP12RO	XP12RO	RA	-	Skin fibroblast	FALSE
GSM2695259	XP12RO-XPA_DMSO_1	XP12RO-XPA	XP12RO	DMSO	+	Skin fibroblast	FALSE
GSM2695260	XP12RO-XPA_DMSO_2	XP12RO-XPA	XP12RO	DMSO	+	Skin fibroblast	FALSE
GSM2695261	XP12RO-XPA_DMSO_3	XP12RO-XPA	XP12RO	DMSO	+	Skin fibroblast	FALSE
GSM2695262	XP12RO-XPA_RA_1	XP12RO-XPA	XP12RO	RA	+	Skin fibroblast	FALSE
GSM2695263	XP12RO-XPA_RA_2	XP12RO-XPA	XP12RO	RA	+	Skin fibroblast	FALSE
GSM2695264	XP12RO-XPA_RA_3	XP12RO-XPA	XP12RO	RA	+	Skin fibroblast	FALSE
GSM2695265	XP2OS_DMSO_1	XP20S	XP20S	DMSO	-	Skin fibroblast	FALSE
GSM2695266	XP2OS_DMSO_2	XP20S	XP20S	DMSO	-	Skin fibroblast	FALSE
GSM2695267	XP2OS_DMSO_3	XP20S	XP20S	DMSO	-	Skin fibroblast	FALSE
GSM2695268	XP2OS_RA_1	XP20S	XP20S	RA	-	Skin fibroblast	FALSE
GSM2695269	XP2OS_RA_2	XP20S	XP20S	RA	-	Skin fibroblast	FALSE
GSM2695270	XP2OS_RA_3	XP20S	XP20S	RA	-	Skin fibroblast	FALSE
GSM2695271	XPA/XP2OS_DMSO_1	XP20S-XPA	XP20S	DMSO	+	Skin fibroblast	FALSE
GSM2695272	XPA/XP2OS_DMSO_2	XP20S-XPA	XP20S	DMSO	+	Skin fibroblast	FALSE
GSM2695273	XPA/XP2OS_DMSO_3	XP20S-XPA	XP20S	DMSO	+	Skin fibroblast	FALSE
GSM2695274	XPA/XP2OS_RA_1	XP20S-XPA	XP20S	RA	+	Skin fibroblast	FALSE
GSM2695275	XPA/XP2OS_RA_2	XP20S-XPA	XP20S	RA	+	Skin fibroblast	FALSE
GSM2695276	XPA/XP2OS_RA_3	XP20S-XPA	XP20S	RA	+	Skin fibroblast	FALSE
GSM2695277	HeLa-KO142_DMSO_1	HeLa-KO142	HeLa	DMSO	-	Cervical carcinoma	TRUE
GSM2695278	HeLa-KO142_DMSO_2	HeLa-KO142	HeLa	DMSO	-	Cervical carcinoma	TRUE
GSM2695279	HeLa-KO142_DMSO_3	HeLa-KO142	HeLa	DMSO	-	Cervical carcinoma	TRUE
GSM2695280	HeLa-KO142_RA_1	HeLa-KO142	HeLa	RA	-	Cervical carcinoma	TRUE
GSM2695281	HeLa-KO142_RA_2	HeLa-KO142	HeLa	RA	-	Cervical carcinoma	TRUE
GSM2695282	HeLa-KO142_RA_3	HeLa-KO142	HeLa	RA	-	Cervical carcinoma	TRUE
GSM2695283	HeLa_WT_DMSO_1	HeLa	HeLa	DMSO	+	Cervical carcinoma	TRUE
GSM2695284	HeLa_WT_DMSO_2	HeLa	HeLa	DMSO	+	Cervical carcinoma	TRUE
GSM2695285	HeLa_WT_DMSO_3	HeLa	HeLa	DMSO	+	Cervical carcinoma	TRUE
